Hash,HashNeedThis,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,ProductClass,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,ColorwaySKU7,Size0,Size1,Size2,Size3,Size4,Size5,Size6,Size7,QOH0,QOH1,QOH2,QOH3,QOH4,QOH5,QOH6,QOH7,Status0,Status1,Status2,Status3,Status4,Status5,Status6,Status7,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,LineListOrder,LineList,2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
0+20032-00000,0+20032-00000,"Bike,Moto",FA23,Sweat-Shirts,SYNDICATE Zip Hoodie Fleece Black - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Fleece,Regular,,Sweat Shirts,Black,TRUE,TRUE,20032-00000,20032-00000,20032-00001,20032-00002,20032-00003,20032-00004,,,,S,M,L,XL,2XL,,,,0,0,0,0,4,,,,409,414,346,302,56,,,,80.00,85.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/8fcdc758-18b7-4c2d-902b-89c55e44eb11,https://cdn.amplifi.pattern.com/8fcdc758-18b7-4c2d-902b-89c55e44eb11_thumb.png,https://cdn.amplifi.pattern.com/8fcdc758-18b7-4c2d-902b-89c55e44eb11,https://cdn.amplifi.pattern.com/84bc68b6-15d4-4b6b-9af9-1d14c34510e5,,,,,,,,,
0+20032-00005,0+20032-00005,"Bike,Moto",FA23,Sweat-Shirts,SYNDICATE Zip Hoodie Fleece Camo - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Fleece,Regular,,Sweat Shirts,Camo,TRUE,TRUE,20032-00005,20032-00005,20032-00006,20032-00007,20032-00008,20032-00009,,,,S,M,L,XL,2XL,,,,0,0,0,0,0,,,,205,205,212,173,146,,,,80.00,85.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/94010d35-292e-4b63-bd75-74b68009e3f4,https://cdn.amplifi.pattern.com/94010d35-292e-4b63-bd75-74b68009e3f4_thumb.png,https://cdn.amplifi.pattern.com/94010d35-292e-4b63-bd75-74b68009e3f4,https://cdn.amplifi.pattern.com/c74c8988-656d-40df-8b8d-4bd79fa3d941,https://cdn.amplifi.pattern.com/15abe218-ccaf-4f9a-ab62-276e4b17cd60,https://cdn.amplifi.pattern.com/80dbcf94-30b3-42a4-831b-adf6c76e391f,https://cdn.amplifi.pattern.com/c2e6549f-7180-461d-9501-58815ea481d0,https://cdn.amplifi.pattern.com/bf4066d6-e5eb-4eea-8580-c6e6f4d0f7e9,https://cdn.amplifi.pattern.com/581de1ca-18a9-4e95-b733-614b25823129,,,,
0+20032-00010,0+20032-00010,"Bike,Moto",FA23,Sweat-Shirts,OFFICIAL Zip Hoodie Fleece Black - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Fleece,Regular,,Sweat Shirts,Black,TRUE,TRUE,20032-00010,20032-00010,20032-00011,20032-00012,20032-00013,20032-00014,,,,S,M,L,XL,2XL,,,,48,8,0,25,52,,,,257,332,341,298,243,,,,65.00,70.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/e9f11d1c-0fd5-46ba-8bc3-fb3e7ee945aa,https://cdn.amplifi.pattern.com/e9f11d1c-0fd5-46ba-8bc3-fb3e7ee945aa_thumb.png,https://cdn.amplifi.pattern.com/e9f11d1c-0fd5-46ba-8bc3-fb3e7ee945aa,https://cdn.amplifi.pattern.com/207191ee-4ffd-4565-8b65-c8daf2f288c2,,,,,,,,,
0+20032-00015,0+20032-00015,"Bike,Moto",FA23,Sweat-Shirts,OFFICIAL Zip Hoodie Fleece Red - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Fleece,Regular,,Sweat Shirts,Red,TRUE,TRUE,20032-00015,20032-00015,20032-00016,20032-00017,20032-00018,20032-00019,,,,S,M,L,XL,2XL,,,,0,0,0,0,0,,,,90,170,172,128,113,,,,65.00,70.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/62a66570-e442-4fb6-a55a-d034db7e29ca,https://cdn.amplifi.pattern.com/62a66570-e442-4fb6-a55a-d034db7e29ca_thumb.png,https://cdn.amplifi.pattern.com/62a66570-e442-4fb6-a55a-d034db7e29ca,https://cdn.amplifi.pattern.com/9ccd3e97-d7be-41f8-b322-4f3fa5039c04,https://cdn.amplifi.pattern.com/27ee517d-e0b1-4f46-8d41-601a57554cca,https://cdn.amplifi.pattern.com/409f29f3-8532-4db9-9163-90ad908b8c45,https://cdn.amplifi.pattern.com/6a256c55-c64f-48a7-b32f-42febac80d39,https://cdn.amplifi.pattern.com/725e6c00-508d-45ea-9003-5a839c517238,,,,,
0+20032-00020,0+20032-00020,"Bike,Moto",FA23,Sweat-Shirts,OFFICIAL Zip Hoodie Fleece Royal - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Fleece,Regular,,Sweat Shirts,Royal,TRUE,TRUE,20032-00020,20032-00020,20032-00021,20032-00022,20032-00023,20032-00024,,,,S,M,L,XL,2XL,,,,0,0,0,0,0,,,,128,143,144,143,115,,,,65.00,70.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/476994c6-71b9-4166-b88d-0ddbae368b2a,https://cdn.amplifi.pattern.com/476994c6-71b9-4166-b88d-0ddbae368b2a_thumb.png,https://cdn.amplifi.pattern.com/476994c6-71b9-4166-b88d-0ddbae368b2a,https://cdn.amplifi.pattern.com/5c308c41-55aa-47da-bbea-331ac0ae9425,https://cdn.amplifi.pattern.com/96fca948-1cee-41e6-96e2-b21f78d74eb0,https://cdn.amplifi.pattern.com/d7b5e05e-eb58-4128-9b08-5d8e0af33d6c,https://cdn.amplifi.pattern.com/f1daa1ef-40b6-4974-8994-07ca784b7944,https://cdn.amplifi.pattern.com/f76bb5d2-5dac-4382-984b-c52c1d17fb1d,https://cdn.amplifi.pattern.com/0c424e62-958b-4415-aa10-9a630637e7a4,https://cdn.amplifi.pattern.com/202c7631-aeda-4a65-a01d-ec66d318e55d,,,
0+20033-00000,0+20033-00000,"Bike,Moto",FA23,Sweat-Shirts,OFFICIAL Youth Zip Hoodie Fleece 280g Black - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Fleece,Regular,,Sweat Shirts,Black,TRUE,TRUE,20033-00000,20033-00000,20033-00001,20033-00002,20033-00003,,,,,S,M,L,XL,,,,,0,0,0,0,,,,,168,192,165,165,,,,,55.00,60.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/59f973d8-85d9-44e9-96ce-d89b3ea52a54,https://cdn.amplifi.pattern.com/59f973d8-85d9-44e9-96ce-d89b3ea52a54_thumb.png,https://cdn.amplifi.pattern.com/59f973d8-85d9-44e9-96ce-d89b3ea52a54,https://cdn.amplifi.pattern.com/708d093a-60a9-45c8-86f5-2479f926b028,https://cdn.amplifi.pattern.com/0525a920-100a-401f-960b-6f320d302eeb,,,,,,,,
0+20037-00000,0+20037-00000,"Bike,Moto",FA23,Sweat-Shirts,VICEROY Tech Zip Hoodie Black - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Fleece,Tech,,Sweat Shirts,Black,TRUE,TRUE,20037-00000,20037-00000,20037-00001,20037-00002,20037-00003,,,,,S,M,L,XL,,,,,0,0,0,0,,,,,321,404,390,259,,,,,85.00,90.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/3c14395a-3479-4b31-8217-7a42162f73e7,https://cdn.amplifi.pattern.com/3c14395a-3479-4b31-8217-7a42162f73e7_thumb.png,https://cdn.amplifi.pattern.com/3c14395a-3479-4b31-8217-7a42162f73e7,https://cdn.amplifi.pattern.com/d5791b30-e785-404a-9245-837613b42ad0,https://cdn.amplifi.pattern.com/5049a0da-fb3f-4e7c-a7e9-1782a53e2c24,,,,,,,,
0+20037-001-17,0+20037-001-17,"Bike,Moto",FA23,Headwear,OFFICIAL X-Fit FlexFitHat Black - S/M,Apparel,Soft Goods,FA16,FA16,Cap,Flexfit,,Hats,Black,FALSE,TRUE,20037-001-17,20037-001-17,20037-001-18,,,,,,,S/M,L/XL,,,,,,,0,0,,,,,,,1443,1429,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+20038-00000,0+20038-00000,"Bike,Moto",FA23,Outerwear,TEMPUS Jacket Black - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Jackets,Water Resistant,,Outerwear,Black,TRUE,TRUE,20038-00000,20038-00000,20038-00001,20038-00002,20038-00003,,,,,S,M,L,XL,,,,,155,278,250,0,,,,,291,672,587,301,,,,,65.00,70.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/d097824b-ae8d-4d09-b22b-3e4686b35432,https://cdn.amplifi.pattern.com/d097824b-ae8d-4d09-b22b-3e4686b35432_thumb.png,https://cdn.amplifi.pattern.com/d097824b-ae8d-4d09-b22b-3e4686b35432,https://cdn.amplifi.pattern.com/06a46cff-c1c7-4ecd-8f9c-1850f6c14089,,,,,,,,,
0+20040-00000,0+20040-00000,"Bike,Moto",FA23,Outerwear,TORRENT Rain Jacket Black - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Jackets,Waterproof,,Outerwear,Black,TRUE,TRUE,20040-00000,20040-00000,20040-00001,20040-00002,20040-00003,20040-00004,,,,S,M,L,XL,2XL,,,,0,0,0,0,0,,,,1016,3092,2686,990,920,,,,29.50,34.50,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/0d6d0ad7-5e8b-46cd-8d43-6f608c2341b6,https://cdn.amplifi.pattern.com/0d6d0ad7-5e8b-46cd-8d43-6f608c2341b6_thumb.png,https://cdn.amplifi.pattern.com/0d6d0ad7-5e8b-46cd-8d43-6f608c2341b6,https://cdn.amplifi.pattern.com/2302f8ef-113c-4f25-b5e0-618f500bfbec,,,,,,,,,
0+20040-00005,0+20040-00005,"Bike,Moto",FA23,Outerwear,TORRENT Rain Jacket Black/Red - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Jackets,Waterproof,,Outerwear,Black/Red,TRUE,TRUE,20040-00005,20040-00005,20040-00006,20040-00007,20040-00008,20040-00009,,,,S,M,L,XL,2XL,,,,223,481,568,77,158,,,,633,1029,1104,536,575,,,,29.50,34.50,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/b032625a-6a26-435a-aae9-afa129b2a7f8,https://cdn.amplifi.pattern.com/b032625a-6a26-435a-aae9-afa129b2a7f8_thumb.png,https://cdn.amplifi.pattern.com/b032625a-6a26-435a-aae9-afa129b2a7f8,https://cdn.amplifi.pattern.com/1d41098d-7bcf-4cbf-bfb0-123f2cb7fd7c,,,,,,,,,
0+20040-00010,0+20040-00010,"Bike,Moto",FA23,Outerwear,TORRENT Rain Jacket Clear - S,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Jackets,Waterproof,,Outerwear,Clear,TRUE,TRUE,20040-00010,20040-00010,20040-00011,20040-00012,20040-00013,20040-00014,,,,S,M,L,XL,2XL,,,,212,223,286,1,91,,,,541,616,673,587,503,,,,29.50,34.50,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/9429654d-8afc-45e3-99b0-4335c657ee04,https://cdn.amplifi.pattern.com/9429654d-8afc-45e3-99b0-4335c657ee04_thumb.png,https://cdn.amplifi.pattern.com/9429654d-8afc-45e3-99b0-4335c657ee04,,,,,,,,,,
0+20041-00005,0+20041-00005,"Bike,Moto",FA23,Outerwear,KLUTCH Windbreaker Grey - S,Apparel,Soft Goods,FA22,"FA22,FA23,SP23",Jackets,Windproof,,Outerwear,Grey,TRUE,FALSE,20041-00005,20041-00005,20041-00006,20041-00007,20041-00008,,,,,S,M,L,XL,,,,,0,0,0,0,,,,,143,128,125,127,,,,,120.00,125.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/a2c43911-f05b-4192-8ba1-f9073342b092,https://cdn.amplifi.pattern.com/a2c43911-f05b-4192-8ba1-f9073342b092_thumb.png,https://cdn.amplifi.pattern.com/a2c43911-f05b-4192-8ba1-f9073342b092,https://cdn.amplifi.pattern.com/df4b862b-e0d5-44fb-b84e-2f69915a1e42,https://cdn.amplifi.pattern.com/d92c0218-0fd0-4612-94dd-41309b765d09,,,,,,,,
0+20043-00000,0+20043-00000,"Bike,Moto",FA23,Headwear,CLASSIC Flexfit Cap Black - S/M,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Flexfit,,Hats,Black,TRUE,TRUE,20043-00000,20043-00000,20043-00001,,,,,,,S/M,L/XL,,,,,,,76,24,,,,,,,2151,2303,,,,,,,28.00,30.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/dc41d9e6-e038-4c24-b63c-2c2f2e13b9be,https://cdn.amplifi.pattern.com/dc41d9e6-e038-4c24-b63c-2c2f2e13b9be_thumb.png,https://cdn.amplifi.pattern.com/dc41d9e6-e038-4c24-b63c-2c2f2e13b9be,,,,,,,,,,
0+20043-00002,0+20043-00002,"Bike,Moto",FA23,Headwear,OFFICIAL Flexfit Cap Black - S/M,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Flexfit,,Hats,Black,TRUE,TRUE,20043-00002,20043-00002,20043-00003,,,,,,,S/M,L/XL,,,,,,,0,0,,,,,,,1888,1878,,,,,,,26.00,28.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/55c3fcae-17e5-486d-a6af-f8eec26e54eb,https://cdn.amplifi.pattern.com/55c3fcae-17e5-486d-a6af-f8eec26e54eb_thumb.png,https://cdn.amplifi.pattern.com/55c3fcae-17e5-486d-a6af-f8eec26e54eb,,,,,,,,,,
0+20043-00004,0+20043-00004,"Bike,Moto",FA23,Headwear,OFFICIAL Flexfit Cap Red - S/M,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Flexfit,,Hats,Red,TRUE,TRUE,20043-00004,20043-00004,20043-00005,,,,,,,S/M,L/XL,,,,,,,0,0,,,,,,,2096,2064,,,,,,,26.00,28.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+20043-00006,0+20043-00006,"Bike,Moto",FA23,Headwear,OFFICIAL Flexfit Cap Royal - S/M,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Flexfit,,Hats,Royal,TRUE,TRUE,20043-00006,20043-00006,20043-00007,,,,,,,S/M,L/XL,,,,,,,0,0,,,,,,,2066,2016,,,,,,,26.00,28.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/38db0b4b-8099-4424-8950-6ba4d32634be,https://cdn.amplifi.pattern.com/38db0b4b-8099-4424-8950-6ba4d32634be_thumb.png,https://cdn.amplifi.pattern.com/38db0b4b-8099-4424-8950-6ba4d32634be,,,,,,,,,,
0+20043-00008,0+20043-00008,"Bike,Moto",FA23,Headwear,SHADOW Flexfit Cap Black - S/M,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Flexfit,,Hats,Black,TRUE,TRUE,20043-00008,20043-00008,20043-00009,,,,,,,S/M,L/XL,,,,,,,359,160,,,,,,,1665,1363,,,,,,,32.00,34.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+20043-00010,0+20043-00010,"Bike,Moto",FA23,Headwear,SHADOW Flexfit Cap Red - S/M,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Flexfit,,Hats,Red,TRUE,TRUE,20043-00010,20043-00010,20043-00011,,,,,,,S/M,L/XL,,,,,,,905,885,,,,,,,1829,1781,,,,,,,32.00,34.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/ddb6d617-1e75-4138-860d-e9bb1bec3ca0,https://cdn.amplifi.pattern.com/ddb6d617-1e75-4138-860d-e9bb1bec3ca0_thumb.png,https://cdn.amplifi.pattern.com/ddb6d617-1e75-4138-860d-e9bb1bec3ca0,,,,,,,,,,
0+20043-00012,0+20043-00012,"Bike,Moto",FA23,Headwear,SHADOW Flexfit Cap Navy - S/M,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Flexfit,,Hats,Navy,TRUE,TRUE,20043-00012,20043-00012,20043-00013,,,,,,,S/M,L/XL,,,,,,,0,0,,,,,,,971,833,,,,,,,32.00,34.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/6ecf9472-47f3-4ca4-ad8a-8564d7535469,https://cdn.amplifi.pattern.com/6ecf9472-47f3-4ca4-ad8a-8564d7535469_thumb.png,https://cdn.amplifi.pattern.com/6ecf9472-47f3-4ca4-ad8a-8564d7535469,,,,,,,,,,
0+20044-00000,0+20044-00000,"Bike,Moto",FA23,Headwear,ICON Snapback Cap Black - OS,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Snapback,,Hats,Black,TRUE,TRUE,20044-00000,20044-00000,,,,,,,,OS,,,,,,,,0,,,,,,,,3168,,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/4a8be047-8b38-456c-8370-34b3c615f8bd,https://cdn.amplifi.pattern.com/4a8be047-8b38-456c-8370-34b3c615f8bd_thumb.png,https://cdn.amplifi.pattern.com/4a8be047-8b38-456c-8370-34b3c615f8bd,,,,,,,,,,
0+20044-00001,0+20044-00001,"Bike,Moto",FA23,Headwear,ICON Snapback Cap Burgundy - OS,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Snapback,,Hats,Burgundy,TRUE,TRUE,20044-00001,20044-00001,,,,,,,,OS,,,,,,,,0,,,,,,,,975,,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/8bde2cca-3e5a-4845-b235-b28e34530d0f,https://cdn.amplifi.pattern.com/8bde2cca-3e5a-4845-b235-b28e34530d0f_thumb.png,https://cdn.amplifi.pattern.com/8bde2cca-3e5a-4845-b235-b28e34530d0f,,,,,,,,,,
0+20044-00002,0+20044-00002,"Bike,Moto",FA23,Headwear,ICON Snapback Cap Forest Green - OS,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Snapback,,Hats,Forest Green,TRUE,TRUE,20044-00002,20044-00002,,,,,,,,OS,,,,,,,,0,,,,,,,,863,,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/c76b1bec-c033-44d1-8490-9d164ff6d6af,https://cdn.amplifi.pattern.com/c76b1bec-c033-44d1-8490-9d164ff6d6af_thumb.png,https://cdn.amplifi.pattern.com/c76b1bec-c033-44d1-8490-9d164ff6d6af,https://cdn.amplifi.pattern.com/dbbce0fa-cbd0-448f-bd52-8671eda55bf6,,,,,,,,,
0+20044-00003,0+20044-00003,"Bike,Moto",FA23,Headwear,ICON Snapback Cap Heather Charcoal - OS,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Snapback,,Hats,Heather Charcoal,TRUE,TRUE,20044-00003,20044-00003,,,,,,,,OS,,,,,,,,0,,,,,,,,633,,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/0b5a82eb-a5a7-4c60-acb6-7e80621c79a3,https://cdn.amplifi.pattern.com/0b5a82eb-a5a7-4c60-acb6-7e80621c79a3_thumb.png,https://cdn.amplifi.pattern.com/0b5a82eb-a5a7-4c60-acb6-7e80621c79a3,https://cdn.amplifi.pattern.com/f146305b-eeba-4322-9719-fbe5caedd272,,,,,,,,,
0+20044-00004,0+20044-00004,"Bike,Moto",FA23,Headwear,ICON Snapback Cap Orange - OS,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Snapback,,Hats,Orange,TRUE,TRUE,20044-00004,20044-00004,,,,,,,,OS,,,,,,,,0,,,,,,,,870,,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/47cfe8a9-2e57-4ef6-bf8b-f8eb762e69dd,https://cdn.amplifi.pattern.com/47cfe8a9-2e57-4ef6-bf8b-f8eb762e69dd_thumb.png,https://cdn.amplifi.pattern.com/47cfe8a9-2e57-4ef6-bf8b-f8eb762e69dd,https://cdn.amplifi.pattern.com/47d0043e-890b-4a3c-99c2-410cafd5ec1c,,,,,,,,,
0+20044-00005,0+20044-00005,"Bike,Moto",FA23,Headwear,ICON Snapback Cap Navy - OS,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Snapback,,Hats,Navy,TRUE,TRUE,20044-00005,20044-00005,,,,,,,,OS,,,,,,,,0,,,,,,,,809,,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/40a5e9de-a76d-4fc0-ab6d-75bc5799fed8,https://cdn.amplifi.pattern.com/40a5e9de-a76d-4fc0-ab6d-75bc5799fed8_thumb.png,https://cdn.amplifi.pattern.com/40a5e9de-a76d-4fc0-ab6d-75bc5799fed8,https://cdn.amplifi.pattern.com/d6609bdd-c667-4e2c-af27-fc67c42701b9,,,,,,,,,
0+20044-00006,0+20044-00006,"Bike,Moto",FA23,Headwear,ICON Snapback Cap Silver Grey - OS,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Snapback,,Hats,Silver Grey,TRUE,TRUE,20044-00006,20044-00006,,,,,,,,OS,,,,,,,,0,,,,,,,,1124,,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/ee171a45-b1a1-4deb-a3d7-91c916906e25,https://cdn.amplifi.pattern.com/ee171a45-b1a1-4deb-a3d7-91c916906e25_thumb.png,https://cdn.amplifi.pattern.com/ee171a45-b1a1-4deb-a3d7-91c916906e25,,,,,,,,,,
0+20044-00007,0+20044-00007,"Bike,Moto",FA23,Headwear,ICON Snapback Cap White - OS,Apparel,Soft Goods,SP22,"FA22,FA23,SP22,SP23",Cap,Snapback,,Hats,White,TRUE,TRUE,20044-00007,20044-00007,,,,,,,,OS,,,,,,,,0,,,,,,,,985,,,,,,,,24.00,26.00,BD,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/5ffd10c6-8924-4db4-b4b2-792239361ea4,https://cdn.amplifi.pattern.com/5ffd10c6-8924-4db4-b4b2-792239361ea4_thumb.png,https://cdn.amplifi.pattern.com/5ffd10c6-8924-4db4-b4b2-792239361ea4,https://cdn.amplifi.pattern.com/1f20b608-a4dd-45ff-bb2e-efa0a2b6275f,,,,,,,,,
